objectid,title,collection_link,filename,description,relevant_standard,format,display_template,project_link,explanation,subject,date,archival_date,location,idaho_county,latitude,longitude,language,object_location,image_small,image_thumb
kooskia-internment-camp-scrapbook,Kooskia Internment Camp Scrapbook,https://www.lib.uidaho.edu/digital/kooskia/,kooskia.jpg,"The Kooskia Internment Camp Scrapbook consists of 148 photographs (and two drawings) which document the lives of Japanese Americans incarcerated during the camp's two years of operation (May 1943 - May 1945). The camp was located in a remote area of north central Idaho, 30 miles from the town of Kooskia and administered by the U.S. Immigration and Naturalization Service (INS) for the U.S. Department of Justice.",9-12.US2.21 Evaluate Supreme Court and executive decisions to limit civil liberties and to relocate Japanese Americans and others to internment camps.,image/jpeg,collection,https://www.lib.uidaho.edu/digital/kooskia/,"Scrapbook shows daily life of detainees, including work, cooking, and socializing.",internment camps; japanese-american; world wars,1943,1943-1945,"Kooskia, Idaho",Idaho County,46.14029796,-115.9787592,eng,https://objects.lib.uidaho.edu/kooskia/kooskia791.jpg,https://objects.lib.uidaho.edu/kooskia/small/kooskia791_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/kooskia791_th.jpg
historical-equine-logging,Historical Equine Logging,https://historicalequinelogging.weebly.com/,historicalequinelogging.jpg,"As a community, Potlatch was greatly effected by the logging period from roughly the early 1900s to the mid 1950s. The logging company that was introduced changed the town and the people living in it. While people are still working to tell the story of the lives of the residents in the company town, this website will shed a light on the lives of some of the animals that worked and were also effected during this time period.","5.SS.1.11 Describe the impact of scientific and technological advances on westward expansion including but not limited to the cotton gin, the reaper, the steam engine, and steam locomotive.",image/jpeg,project,https://historicalequinelogging.weebly.com/,"This interpretive digital project focuses on the ways horses were used in logging in historical Potlatch, ID. It provides a unique way to engage students in logging and company town history.",labor; logging; horses,1900,early 20th century,"Potlatch, Idaho",Latah County,46.92146766,-116.8982942,eng,https://companytownlegacy.github.io/objects/companytown_p5.jpg,https://companytownlegacy.github.io/objects/companytown_p5.jpg,https://companytownlegacy.github.io/objects/companytown_p5.jpg
big-burn-collection,Big Burn Collection,https://www.lib.uidaho.edu/digital/bigburn/,bigburn.jpg,"The Big Burn Collection is an online exhibit of materials related to the 'Big Burn' fires of 1910 that devastated much of Northern Idaho and Northwest Montana. The collection includes photographs, documents, first-person accounts, and oral histories pertaining to the fires and the local and national responses to them.",4.SS.1.2.2 Describe the role of fur trading and the discovery of gold and silver in the settlement of Idaho,image/jpeg,collection,https://www.lib.uidaho.edu/digital/bigburn/,"Contains audio, photographic, and text resources relating to the fires.",mining; fires; cities and towns,1910,1910-1977,"Orofino, Idaho; Shoshone County, Idaho; Wallace, Idaho; Wardner, Idaho",Shoshone County,,,eng,https://objects.lib.uidaho.edu/bigburn/bigburn15.jpg,https://objects.lib.uidaho.edu/bigburn/small/bigburn15_sm.jpg,https://objects.lib.uidaho.edu/bigburn/thumbs/bigburn15_th.jpg
hispanic-oral-history-project,Hispanic Oral History Project,https://www.lib.uidaho.edu/digital/hohp/,hohp.jpg,"The Idaho Hispanic Oral History Project interviewed Hispanic immigrants and their descendants living in Idaho in 1991. This collection provides access to the interviews, related materials, and the resulting book, ""Voces Hispanas: Hispanic Voices of Idaho.""",4.SS.1.1.1 Describe ways that cultural groups in Idaho influenced and impacted each other,audio/mp3,collection,https://www.lib.uidaho.edu/digital/hohp/,Oral histories are tagged and easily sorted by topic and discuss various aspects of recent Idaho history,hispanic american; immigration; labor; family life; cities and towns,1989,1989-1992,"Boise, Idaho; Caldwell, Idaho; Emmett, Idaho; Idaho Falls, Idaho; Inkom, Idaho; Nampa, Idaho; Pocatello, Idaho; Rupert, Idaho; Twin Falls, Idaho",Canyon County; Bonneville County,,,eng;spa,https://objects.lib.uidaho.edu/hohp/antonio-hernandez-rodriguez-group-portrait.jpg,https://objects.lib.uidaho.edu/hohp/small/antonio-hernandez-rodriguez-group-portrait_sm.jpg,https://objects.lib.uidaho.edu/hohp/thumbs/antonio-hernandez-rodriguez-group-portrait_th.jpg
shitamae-family-letters,Shitamae family letters,https://www.lib.uidaho.edu/digital/shitamae/,shitamae.jpg,"Shihei (George) Shitamae was incarcerated at the Sante Fe Detention Center in Sante Fe, New Mexico during World War II. The letters in this collection were written by his family incarcerated at Camp Harmony, a temporary detention center located in Puyallup, Washington, and the Minidoka Incarceration Camp in Hunt, Idaho. The letters contain information about family members, activities, and other aspects of life during incarceration.",9-12.US2.21 Evaluate Supreme Court and executive decisions to limit civil liberties and to relocate Japanese Americans and others to internment camps.,application/pdf,collection,https://www.lib.uidaho.edu/digital/shitamae/,"Letters discuss daily life of people inside and outside the detention center, show examples of official internment processes through stamps and some official correspondence",internment camps; japanese-american; world wars,1942,1942-1944,"Seattle, Washington; Twin Falls, Idaho; Washington, D.C.; Yellow Springs, Ohio; Hiroshima, Japan; Minidoka, Idaho; Oakley, Idaho; Philadelphia, Pennsylvania; Santa Fe, New Mexico; Puyallup, Washington; Hunt, Idaho",Minidoka County,,,eng;jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_129.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_129_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_129_th.jpg
marylyn-cork-priest-river-historical,Marylyn Cork Priest River Historical Collection,https://www.lib.uidaho.edu/digital/priestriver/,priestriver.jpg,"This ongoing collection features over 500 images documenting the people, industries, and daily life of Priest River and the surrounding communities in Bonner County from the nearly 1,800 images in the Marylyn Cork collection. Researchers interested in learning more about the collection or gaining reproduction access to specific images should contact the Priest River Library, where the physical collection is housed.","5.SS.1.11 Describe the impact of scientific and technological advances on westward expansion including but not limited to the cotton gin, the reaper, the steam engine, and steam locomotive.",image/jpeg,collection,https://www.lib.uidaho.edu/digital/priestriver/,"Images show logging history and town life. Many images show logging tools, machinery, and processes.",labor; logging; cities and towns,1896,1896-1995,"Priest River, Idaho; Oldtown, Idaho; Rathdrum, Idaho; Samuels, Idaho; Sandpoint, Idaho; Boundary County; Coeur d'Alene, Idaho; Enaville, Idaho; Four Corners, Idaho; Latah County; Newport, Washington; Pend Oreille County, Washington; Spokane, Washington, Valley County",Bonner County,48.18067329,-116.910614,eng,https://objects.lib.uidaho.edu/priestriver/banner.jpg,https://objects.lib.uidaho.edu/priestriver/small/banner_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/banner_th.jpg
latah-county-oral-history,Latah County Oral History Collection,https://www.lib.uidaho.edu/digital/lcoh/,lcoh.jpg,The Latah County Oral History Collections consists of audio interview recordings and transcriptions for over 300 interviews conducted during the mid-1970s by the Latah County Historical Society.,"9-12.US2.2 Evaluate Progressive's impact, re: Prohibition and Women's Suffrage",audio/mp3,collection,https://www.lib.uidaho.edu/digital/lcoh/,Many of the oral history interviewees lived through the Progressive Era and shared vivid memories about the women's suffrage campaign as well as Prohibition.,cities and towns; family life; immigration; logging; world wars; westward expansion,1953,1953-1978,"Juliaetta, Idaho; American Ridge, Idaho; Kendrick, Idaho; Troy, Idaho; Aspendale, Idaho; Moscow, Idaho; Avon, Idaho; Bear Creek, Idaho; Deary, Idaho; Beaverton, Oregon; Big Bear Ridge, Idaho; Jansville, Idaho; Little Bear Ridge, Idaho; Bovill, Idaho; Elk River, Idaho; McGary Butte, Idaho; Princeton, Idaho; Brush Creek, Idaho; Burnt Ridge, Idaho; Cameron, Idaho; Park, Idaho; Agatha, Idaho; Cedar Creek, Idaho; Southwick, Idaho; Cow Creek, Idaho; Genesee, Idaho; Texas Ridge, Idaho; Potlatch, Idaho; Lewiston, Idaho; Fourmile Creek, Idaho; Viola, Idaho; Coyote Grade, Idaho; Lenville, Idaho; Driscoll Ridge, Idaho; Paradise Ridge, Idaho; Salmon River, Idaho; Harvard, Idaho; Grey Eagle District, Idaho; Hatter Creek, Idaho; Helmer, Idaho; Hog Meadows, Idaho; Johnson, Idaho; Clarkston, Idaho; Leland, Idaho; Lapwai, Idaho; Washington, D.C.; Onaway, Idaho; Palouse, Washington; British Columbia, Canada; Central Ridge, Idaho; Pleasant Hill, Idaho; Thorn Creek, Idaho; Nora Creek, Idaho; Woodfell, Idaho",Latah County,,,eng,https://www.lib.uidaho.edu/media/digital/small/lcoh.jpg,https://www.lib.uidaho.edu/media/digital/small/lcoh.jpg,https://www.lib.uidaho.edu/media/digital/small/lcoh.jpg
nimiipuu-l3,Nimiipuu L3,https://cdil.lib.uidaho.edu/nimiipuu-l3/,nimiipuul3.jpg,"In this module you will be introduced to the Nimíipuu, also called the Nez Perce. We have a rich and vibrant culture, which has existed since time immemorial and which continues to this day. As a result of your engagement in this module, you will gain a better understanding of the influence of the Nimíipuu not only on Lewis and Clark and the Corps of Discovery, but also on American history and culture. You will also gain an appreciation of how the Corps of Discovery impacted the Nimíipuu.",4.SS.1.3.1 Identify American Indian tribes in Idaho,image/jpeg,project,https://cdil.lib.uidaho.edu/nimiipuu-l3/,"This online resource provides written and oral descriptions of Nez Perce (Nimiipuu) culture and history. It was created in consultation with the Nez Perce Tribe, which makes it a particularly rich and trustworthy source of information. Students can learn about creation stories, about cultural traditions, and about some of the tribes most well-known members. ",indigenous people; westward expansion; family life,,,,,,,eng,/objects/nimiipuul3.jpg,/objects/small/nimiipuul3_sm.jpg,/objects/thumbs/nimiipuul3_th.jpg
idaho-sanborn-maps,Idaho Sanborn Maps,https://www.lib.uidaho.edu/digital/sanborn/,sanborn.jpg,"The Idaho Sanborn Maps digital collection consists of fire insurance maps created by the Sanborn Map Company. This collection of maps covers 42 counties and 81 cities in Idaho, from the 1880s to 1920s.","4.SS.2.1.1 Use geographic skills to collect, analyze, interpret, and communicate data",image/jpeg,collection,https://www.lib.uidaho.edu/digital/sanborn/,"Sanborn maps provide an interesting and engaging way for students to learn about the uses of maps as well as learn about their own communities. Digitized versions of these maps, which illustrate the size and types of buildings and the locations of streets and alleys, are available for 81 Idaho towns across 42 counties. ",fires; cities and towns,1884,1884-1929,"Aberdeen, Idaho; Albion, Idaho; American Falls, Idaho; Arco, Idaho; Bancroft, Idaho; Bellevue, Idaho; Black Bear, Idaho; Bliss, Idaho; Boise, Idaho; Bonners Ferry, Idaho; Bruneau, Idaho; Buhl, Idaho; Burke, Idaho; Burley, Idaho; Caldwell, Idaho; Cambridge, Idaho; Clark's Fork, Idaho; Coeur D'Alene, Idaho; Cottonwood, Idaho; Council, Idaho; Culdesac, Idaho; Deary, Idaho; Driggs, Idaho; Dubois, Idaho; Eagle, Idaho; Eagle Rock, Idaho; Idaho Falls, Idaho; Eden, Idaho; Elk River, Idaho; Emmett, Idaho; Fairfield, Idaho; Ferdinand, Idaho; Filer, Idaho; Franklin, Idaho; Fruitland, Idaho; Gem, Idaho; Genesee, Idaho; Glenns Ferry, Idaho; Gooding, Idaho; Grace, Idaho; Grangeville, Idaho; Hailey, Idaho; Harrison, Idaho; Ilo, Idaho; Juliaetta, Idaho; Kamiah, Idaho; Kellogg, Idaho; Kendrick, Idaho; Ketchum, Idaho; kootenai, Idaho; Kuna, Idaho; Laclede, Idaho; Lapwai, Idaho; Lewiston, Idaho; Malad City, Idaho; Meridian, Idaho; Midvale, Idaho; Moscow, Idaho; Mountain Home, Idaho; Mullan, Idaho; Nampa, Idaho; Orofino, Idaho; Paris, Idaho; Payette, Idaho; Plummer, Idaho; Pocatello, Idaho; Post Falls, Idaho; Rathdrum, Idaho; Shoshone, Idaho; Vollmer, Idaho; Troy, Idaho; Wallace, Idaho; Wardner, Idaho; Weiser, Idaho; ",Ada County; Adams County; Alturas County; Bannock County; Bear Lake County; Benewah County; Bingham County; Blaine County,,,eng,https://objects.lib.uidaho.edu/sanborn/sanborn-ketchum-1890-001.jpg,https://objects.lib.uidaho.edu/sanborn/small/sanborn-ketchum-1890-001_sm.jpg,https://objects.lib.uidaho.edu/sanborn/thumbs/sanborn-ketchum-1890-001_th.jpg
northwest-historical-postcards,Northwest Historical Postcards Collection,https://www.lib.uidaho.edu/digital/postcards/,postcards.jpg,A digital collection of over 800 historical Northwest postcards from the historical photograph collections of the University of Idaho Library's Special Collections & Archives. The postcards range in date from the 1890s to the 1980s.,"4.SS.2.3.4 Compare and Contract: city/suburban/town, urban/rural, farm/factory, and agriculture/industry",image/jpeg,collection,https://www.lib.uidaho.edu/digital/postcards/,"A collection of several hundred postcards that feature photos or illustrations of locations across Idaho, dating from the 1890s to the 1980s. The images provide visual evidence of the different landscapes that make up Idaho and how people have developed them over time. ",recreation; forests; scenery,1864,1864-2000,,,,,eng,https://objects.lib.uidaho.edu/postcards/pg_9_05_02a.jpg,https://objects.lib.uidaho.edu/postcards/small/pg_9_05_02a_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/pg_9_05_02a_th.jpg
